Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.27389802, 1, 0, 0, 0
0.27389814, 0, 0, 0, 0
0.27389826, 1, 0, 0, 0
0.27389840, 0, 1, 0, 0
0.27389852, 1, 1, 0, 0
0.27389864, 0, 1, 0, 0
0.27389866, 0, 0, 1, 0
0.27389876, 1, 0, 1, 0
0.27389890, 0, 0, 1, 0
0.27389892, 0, 0, 0, 0
0.27389902, 1, 0, 0, 0
0.27389914, 0, 0, 0, 0
0.27389916, 0, 0, 1, 0
0.27389926, 1, 0, 1, 0
0.27389940, 0, 0, 1, 0
0.27389952, 1, 0, 1, 0
0.27389964, 0, 0, 1, 0
0.27389966, 0, 0, 0, 0
0.27389976, 1, 0, 0, 0
0.27389990, 0, 0, 0, 0
0.27390002, 1, 0, 0, 0
0.27390014, 0, 0, 0, 0
0.27390026, 1, 0, 0, 0
0.27390040, 0, 0, 0, 0
0.27390052, 1, 0, 0, 0
0.27390064, 0, 0, 0, 0
0.27390066, 0, 0, 1, 0
0.27390076, 1, 0, 1, 0
0.27390090, 0, 0, 1, 0
0.27390102, 1, 0, 1, 0
0.27390114, 0, 0, 1, 0
0.27390116, 0, 0, 0, 0
0.27390126, 1, 0, 0, 0
0.27390140, 0, 0, 0, 0
0.27390142, 0, 0, 1, 0
0.27390152, 1, 0, 1, 0
0.27390164, 0, 0, 1, 0
0.27390166, 0, 0, 0, 0
0.27390176, 1, 0, 0, 0
0.27390190, 0, 0, 0, 0
0.27390202, 1, 0, 0, 0
0.27390214, 0, 0, 0, 0
0.27390226, 1, 0, 0, 0
0.27390240, 0, 0, 0, 0
0.27390252, 1, 0, 0, 0
0.27390264, 0, 0, 0, 0
0.27390266, 0, 0, 1, 0
0.27390276, 1, 0, 1, 0
0.27390290, 0, 0, 1, 0
0.27390302, 1, 0, 1, 0
0.27390314, 0, 0, 1, 0
0.27390326, 1, 0, 1, 0
0.27390340, 0, 0, 1, 0
0.27390352, 1, 0, 1, 0
0.27390364, 0, 0, 1, 0
0.27390366, 0, 0, 0, 0
0.27390376, 1, 0, 0, 0
0.27390390, 0, 0, 0, 0
0.27390402, 1, 0, 0, 0
0.27390414, 0, 0, 0, 0
0.27390426, 1, 0, 0, 0
0.27390440, 0, 0, 0, 0
0.27390442, 0, 0, 1, 0
0.27390452, 1, 0, 1, 0
0.27390464, 0, 0, 1, 0
0.27390466, 0, 0, 0, 0
0.27390476, 1, 0, 0, 0
0.27390490, 0, 0, 0, 0
0.27390502, 1, 0, 0, 0
0.27390514, 0, 0, 0, 0
0.27390526, 1, 0, 0, 0
0.27390540, 0, 0, 0, 0
0.27390542, 0, 0, 1, 0
0.27390552, 1, 0, 1, 0
0.27390564, 0, 0, 1, 0
0.27390566, 0, 0, 0, 0
0.27390576, 1, 0, 0, 0
0.27390590, 0, 0, 0, 0
0.27390602, 1, 0, 0, 0
0.27390614, 0, 0, 0, 0
0.27390616, 0, 0, 1, 0
0.27390626, 1, 0, 1, 0
0.27390640, 0, 0, 1, 0
0.27390642, 0, 0, 0, 0
0.27390652, 1, 0, 0, 0
0.27390664, 0, 0, 0, 0
0.27390666, 0, 0, 1, 0
0.27390676, 1, 0, 1, 0
0.27390690, 0, 0, 1, 0
0.27390702, 1, 0, 1, 0
0.27390714, 0, 0, 1, 0
0.27390716, 0, 0, 0, 0
0.27390726, 1, 0, 0, 0
0.27390740, 0, 0, 0, 0
0.27390742, 0, 0, 1, 0
0.27390752, 1, 0, 1, 0
0.27390764, 0, 0, 1, 0
0.27390766, 0, 0, 0, 0
0.27390776, 1, 0, 0, 0
0.27390790, 0, 1, 0, 0
0.27390802, 1, 1, 0, 0
0.27390814, 0, 1, 0, 0
0.27390816, 0, 0, 0, 0
0.27390826, 1, 0, 0, 0
0.27390840, 0, 0, 0, 0
0.27390852, 1, 0, 0, 0
0.27390864, 0, 0, 0, 0
0.27390876, 1, 0, 0, 0
0.27390890, 0, 0, 0, 0
0.27390902, 1, 0, 0, 0
0.27390914, 0, 0, 0, 0
0.27390926, 1, 0, 0, 0
0.27391116, 1, 0, 0, 1
0.27447534, 1, 0, 0, 0
0.27447776, 0, 0, 0, 0
0.27447788, 1, 0, 0, 0
0.27447800, 0, 0, 0, 0
0.27447812, 1, 0, 0, 0
0.27447824, 0, 0, 0, 0
0.27447836, 1, 0, 0, 0
0.27447848, 0, 0, 0, 0
0.27447862, 1, 0, 0, 0
0.27447874, 0, 0, 0, 0
0.27447876, 0, 0, 1, 0
0.27447886, 1, 0, 1, 0
0.27447898, 0, 0, 1, 0
0.27447900, 0, 1, 0, 0
0.27447910, 1, 1, 0, 0
0.27447922, 0, 1, 0, 0
0.27447924, 0, 0, 1, 0
0.27447934, 1, 0, 1, 0
0.27447948, 0, 0, 1, 0
0.27447960, 1, 0, 1, 0
0.27448020, 1, 0, 0, 0
0.27448304, 0, 0, 0, 0
0.27448316, 1, 0, 0, 0
0.27448328, 0, 0, 0, 0
0.27448330, 0, 1, 1, 0
0.27448340, 1, 1, 1, 0
0.27448352, 0, 1, 1, 0
0.27448364, 1, 1, 1, 0
0.27448378, 0, 1, 1, 0
0.27448390, 1, 1, 1, 0
0.27448402, 0, 1, 1, 0
0.27448404, 0, 0, 0, 0
0.27448414, 1, 0, 0, 0
0.27448426, 0, 0, 0, 0
0.27448438, 1, 0, 0, 0
0.27448452, 0, 0, 0, 0
0.27448464, 1, 0, 0, 0
0.27448476, 0, 0, 0, 0
0.27448488, 1, 0, 0, 0
0.27448628, 1, 0, 0, 1
0.27448634, 1, 0, 0, 0
0.27448876, 0, 0, 0, 0
0.27448878, 0, 0, 1, 0
0.27448888, 1, 0, 1, 0
0.27448900, 0, 0, 1, 0
0.27448902, 0, 0, 0, 0
0.27448912, 1, 0, 0, 0
0.27448924, 0, 0, 0, 0
0.27448938, 1, 0, 0, 0
0.27448950, 0, 0, 0, 0
0.27448962, 1, 0, 0, 0
0.27448974, 0, 0, 0, 0
0.27448986, 1, 0, 0, 0
0.27448998, 0, 0, 0, 0
0.27449000, 0, 1, 0, 0
0.27449012, 1, 1, 0, 0
0.27449024, 0, 0, 0, 0
0.27449026, 0, 0, 1, 0
0.27449036, 1, 0, 1, 0
0.27449048, 0, 0, 1, 0
0.27449060, 1, 0, 1, 0
0.27449122, 1, 0, 0, 0
0.27449406, 0, 0, 0, 0
0.27449408, 0, 0, 1, 0
0.27449418, 1, 0, 1, 0
0.27449430, 0, 0, 1, 0
0.27449432, 0, 0, 0, 0
0.27449442, 1, 0, 0, 0
0.27449454, 0, 0, 0, 0
0.27449456, 0, 1, 0, 0
0.27449468, 1, 1, 0, 0
0.27449480, 0, 0, 0, 0
0.27449492, 1, 0, 0, 0
0.27449504, 0, 0, 0, 0
0.27449516, 1, 0, 0, 0
0.27449528, 0, 0, 0, 0
0.27449542, 1, 0, 0, 0
0.27449554, 0, 0, 0, 0
0.27449566, 1, 0, 0, 0
0.27449578, 0, 0, 0, 0
0.27449590, 1, 0, 0, 0
0.27449734, 1, 0, 0, 1
0.27449748, 1, 0, 0, 0
0.27449990, 0, 0, 0, 0
0.27450002, 1, 0, 0, 0
0.27450014, 0, 0, 0, 0
0.27450026, 1, 0, 0, 0
0.27450040, 0, 0, 0, 0
0.27450052, 1, 0, 0, 0
0.27450064, 0, 0, 0, 0
0.27450076, 1, 0, 0, 0
0.27450088, 0, 0, 0, 0
0.27450100, 1, 0, 0, 0
0.27450114, 0, 1, 0, 0
0.27450126, 1, 1, 0, 0
0.27450138, 0, 0, 0, 0
0.27450140, 0, 0, 1, 0
0.27450150, 1, 0, 1, 0
0.27450162, 0, 0, 1, 0
0.27450174, 1, 0, 1, 0
0.27450236, 1, 0, 0, 0
0.27450518, 0, 0, 0, 0
0.27450532, 1, 0, 0, 0
0.27450544, 0, 0, 0, 0
0.27450556, 1, 0, 0, 0
0.27450568, 0, 0, 0, 0
0.27450570, 0, 1, 1, 0
0.27450580, 1, 1, 1, 0
0.27450592, 0, 1, 1, 0
0.27450594, 0, 0, 1, 0
0.27450604, 1, 0, 1, 0
0.27450618, 0, 0, 1, 0
0.27450620, 0, 0, 0, 0
0.27450630, 1, 0, 0, 0
0.27450642, 0, 0, 0, 0
0.27450654, 1, 0, 0, 0
0.27450666, 0, 0, 0, 0
0.27450678, 1, 0, 0, 0
0.27450692, 0, 0, 0, 0
0.27450704, 1, 0, 0, 0
0.27450848, 1, 0, 0, 1
0.27450852, 1, 0, 0, 0
0.76282368, 1, 0, 0, 1
0.76282372, 1, 0, 0, 0
0.76282612, 0, 0, 0, 0
0.76282616, 0, 0, 1, 0
0.76282626, 1, 0, 1, 0
0.76282638, 0, 0, 1, 0
0.76282640, 0, 0, 0, 0
0.76282650, 1, 0, 0, 0
0.76282662, 0, 0, 0, 0
0.76282674, 1, 0, 0, 0
0.76282686, 0, 0, 0, 0
0.76282698, 1, 0, 0, 0
0.76282712, 0, 0, 0, 0
0.76282724, 1, 0, 0, 0
0.76282736, 0, 0, 0, 0
0.76282738, 0, 1, 0, 0
0.76282748, 1, 1, 0, 0
0.76282760, 0, 1, 0, 0
0.76282762, 0, 0, 0, 0
0.76282764, 0, 0, 1, 0
0.76282772, 1, 0, 1, 0
0.76282786, 0, 1, 1, 0
0.76282798, 1, 1, 1, 0
0.76282860, 1, 1, 0, 0
0.76283142, 0, 1, 0, 0
0.76283144, 0, 0, 1, 0
0.76283154, 1, 0, 1, 0
0.76283166, 0, 0, 1, 0
0.76283170, 0, 0, 0, 0
0.76283180, 1, 0, 0, 0
0.76283192, 0, 0, 0, 0
0.76283194, 0, 1, 0, 0
0.76283204, 1, 1, 0, 0
0.76283216, 0, 1, 0, 0
0.76283228, 1, 1, 0, 0
0.76283240, 0, 1, 0, 0
0.76283242, 0, 0, 0, 0
0.76283254, 1, 0, 0, 0
0.76283266, 0, 0, 0, 0
0.76283278, 1, 0, 0, 0
0.76283290, 0, 0, 0, 0
0.76283302, 1, 0, 0, 0
0.76283314, 0, 0, 0, 0
0.76283326, 1, 0, 0, 0
0.76283468, 1, 0, 0, 1
0.76283486, 1, 0, 0, 0
0.76283726, 0, 0, 0, 0
0.76283740, 1, 0, 0, 0
0.76283752, 0, 0, 0, 0
0.76283764, 1, 0, 0, 0
0.76283776, 0, 0, 0, 0
0.76283788, 1, 0, 0, 0
0.76283800, 0, 0, 0, 0
0.76283812, 1, 0, 0, 0
0.76283826, 0, 0, 0, 0
0.76283838, 1, 0, 0, 0
0.76283850, 0, 0, 0, 0
0.76283852, 0, 1, 0, 0
0.76283862, 1, 1, 0, 0
0.76283874, 0, 1, 0, 0
0.76283876, 0, 0, 0, 0
0.76283878, 0, 0, 1, 0
0.76283886, 1, 0, 1, 0
0.76283900, 0, 1, 1, 0
0.76283912, 1, 1, 1, 0
0.76283974, 1, 1, 0, 0
0.76284256, 0, 1, 0, 0
0.76284258, 0, 0, 0, 0
0.76284268, 1, 0, 0, 0
0.76284280, 0, 0, 0, 0
0.76284294, 1, 0, 0, 0
0.76284306, 0, 1, 0, 0
0.76284308, 0, 1, 1, 0
0.76284318, 1, 1, 1, 0
0.76284330, 0, 1, 1, 0
0.76284332, 0, 1, 0, 0
0.76284342, 1, 1, 0, 0
0.76284354, 0, 1, 0, 0
0.76284356, 0, 0, 0, 0
0.76284368, 1, 0, 0, 0
0.76284380, 0, 0, 0, 0
0.76284392, 1, 0, 0, 0
0.76284404, 0, 0, 0, 0
0.76284416, 1, 0, 0, 0
0.76284428, 0, 0, 0, 0
0.76284440, 1, 0, 0, 0
0.76284586, 1, 0, 0, 1
0.76285208, 1, 0, 0, 0
0.76285464, 0, 0, 0, 0
0.76285466, 0, 0, 1, 0
0.76285476, 1, 0, 1, 0
0.76285488, 0, 0, 1, 0
0.76285490, 0, 0, 0, 0
0.76285500, 1, 0, 0, 0
0.76285512, 0, 0, 0, 0
0.76285526, 1, 0, 0, 0
0.76285538, 0, 0, 0, 0
0.76285550, 1, 0, 0, 0
0.76285562, 0, 0, 0, 0
0.76285574, 1, 0, 0, 0
0.76285586, 0, 0, 0, 0
0.76285588, 0, 1, 0, 0
0.76285598, 1, 1, 0, 0
0.76285612, 0, 0, 0, 0
0.76285624, 1, 0, 0, 0
0.76285636, 0, 0, 0, 0
0.76285638, 0, 1, 0, 0
0.76285648, 1, 1, 0, 0
0.76285660, 0, 1, 0, 0
0.76285662, 0, 1, 1, 0
0.76285672, 1, 1, 1, 0
0.76285686, 0, 0, 1, 0
0.76285688, 0, 0, 0, 0
0.76285698, 1, 0, 0, 0
0.76285710, 0, 0, 0, 0
0.76285722, 1, 0, 0, 0
0.76285734, 0, 0, 0, 0
0.76285746, 1, 0, 0, 0
0.76285758, 0, 0, 0, 0
0.76285760, 0, 1, 0, 0
0.76285772, 1, 1, 0, 0
0.76285784, 0, 0, 0, 0
0.76285786, 0, 0, 1, 0
0.76285796, 1, 0, 1, 0
0.76285808, 0, 0, 1, 0
0.76285810, 0, 0, 0, 0
0.76285820, 1, 0, 0, 0
0.76285832, 0, 0, 0, 0
0.76285836, 0, 0, 1, 0
0.76285844, 1, 0, 1, 0
0.76285858, 0, 0, 1, 0
0.76285870, 1, 0, 1, 0
0.76285882, 0, 0, 1, 0
0.76285884, 0, 0, 0, 0
0.76285894, 1, 0, 0, 0
0.76285906, 0, 0, 0, 0
0.76285918, 1, 0, 0, 0
0.76285932, 0, 0, 0, 0
0.76285944, 1, 0, 0, 0
0.76285956, 0, 0, 0, 0
0.76285968, 1, 0, 0, 0
0.76285980, 0, 0, 0, 0
0.76285982, 0, 0, 1, 0
0.76285992, 1, 0, 1, 0
0.76286004, 0, 0, 1, 0
0.76286018, 1, 0, 1, 0
0.76286030, 0, 0, 1, 0
0.76286032, 0, 0, 0, 0
0.76286042, 1, 0, 0, 0
0.76286054, 0, 0, 0, 0
0.76286056, 0, 0, 1, 0
0.76286066, 1, 0, 1, 0
0.76286078, 0, 0, 1, 0
0.76286082, 0, 0, 0, 0
0.76286092, 1, 0, 0, 0
0.76286104, 0, 0, 0, 0
0.76286116, 1, 0, 0, 0
0.76286128, 0, 0, 0, 0
0.76286140, 1, 0, 0, 0
0.76286152, 0, 0, 0, 0
0.76286166, 1, 0, 0, 0
0.76286178, 0, 0, 0, 0
0.76286180, 0, 0, 1, 0
0.76286190, 1, 0, 1, 0
0.76286202, 0, 0, 1, 0
0.76286214, 1, 0, 1, 0
0.76286226, 0, 0, 1, 0
0.76286238, 1, 0, 1, 0
0.76286252, 0, 0, 1, 0
0.76286264, 1, 0, 1, 0
0.76286276, 0, 0, 1, 0
0.76286278, 0, 0, 0, 0
0.76286288, 1, 0, 0, 0
0.76286300, 0, 0, 0, 0
0.76286312, 1, 0, 0, 0
0.76286326, 0, 0, 0, 0
0.76286338, 1, 0, 0, 0
0.76286350, 0, 0, 0, 0
0.76286352, 0, 0, 1, 0
0.76286362, 1, 0, 1, 0
0.76286374, 0, 0, 1, 0
0.76286376, 0, 0, 0, 0
0.76286386, 1, 0, 0, 0
0.76286400, 0, 0, 0, 0
0.76286412, 1, 0, 0, 0
0.76286424, 0, 0, 0, 0
0.76286436, 1, 0, 0, 0
0.76286448, 0, 0, 0, 0
0.76286450, 0, 0, 1, 0
0.76286460, 1, 0, 1, 0
0.76286474, 0, 0, 1, 0
0.76286476, 0, 0, 0, 0
0.76286486, 1, 0, 0, 0
0.76286498, 0, 0, 0, 0
0.76286510, 1, 0, 0, 0
0.76286522, 0, 0, 0, 0
0.76286524, 0, 0, 1, 0
0.76286534, 1, 0, 1, 0
0.76286546, 0, 0, 1, 0
0.76286550, 0, 0, 0, 0
0.76286560, 1, 0, 0, 0
0.76286572, 0, 0, 0, 0
0.76286574, 0, 0, 1, 0
0.76286584, 1, 0, 1, 0
0.76286596, 0, 0, 1, 0
0.76286608, 1, 0, 1, 0
0.76286620, 0, 0, 1, 0
0.76286624, 0, 0, 0, 0
0.76286634, 1, 0, 0, 0
0.76286646, 0, 0, 0, 0
0.76286648, 0, 0, 1, 0
0.76286658, 1, 0, 1, 0
0.76286670, 0, 0, 1, 0
0.76286672, 0, 0, 0, 0
0.76286682, 1, 0, 0, 0
0.76286694, 0, 0, 0, 0
0.76286696, 0, 1, 0, 0
0.76286708, 1, 1, 0, 0
0.76286720, 0, 0, 0, 0
0.76286732, 1, 0, 0, 0
0.76286744, 0, 0, 0, 0
0.76286756, 1, 0, 0, 0
0.76286768, 0, 0, 0, 0
0.76286782, 1, 0, 0, 0
0.76286794, 0, 0, 0, 0
0.76286806, 1, 0, 0, 0
0.76286818, 0, 0, 0, 0
0.76286830, 1, 0, 0, 0
0.76287016, 1, 0, 0, 1
0.76346984, 1, 0, 0, 0
0.76347226, 0, 0, 0, 0
0.76347238, 1, 0, 0, 0
0.76347250, 0, 0, 0, 0
0.76347262, 1, 0, 0, 0
0.76347274, 0, 0, 0, 0
0.76347288, 1, 0, 0, 0
0.76347300, 0, 0, 0, 0
0.76347312, 1, 0, 0, 0
0.76347324, 0, 0, 0, 0
0.76347326, 0, 0, 1, 0
0.76347336, 1, 0, 1, 0
0.76347348, 0, 0, 1, 0
0.76347350, 0, 1, 1, 0
0.76347352, 0, 1, 0, 0
0.76347360, 1, 1, 0, 0
0.76347374, 0, 0, 0, 0
0.76347376, 0, 0, 1, 0
0.76347386, 1, 0, 1, 0
0.76347398, 0, 0, 1, 0
0.76347410, 1, 0, 1, 0
0.76347472, 1, 0, 0, 0
0.76347754, 0, 0, 0, 0
0.76347766, 1, 0, 0, 0
0.76347780, 0, 1, 0, 0
0.76347782, 0, 1, 1, 0
0.76347792, 1, 1, 1, 0
0.76347804, 0, 1, 1, 0
0.76347816, 1, 1, 1, 0
0.76347828, 0, 1, 1, 0
0.76347840, 1, 1, 1, 0
0.76347852, 0, 1, 1, 0
0.76347854, 0, 0, 1, 0
0.76347856, 0, 0, 0, 0
0.76347866, 1, 0, 0, 0
0.76347878, 0, 0, 0, 0
0.76347890, 1, 0, 0, 0
0.76347902, 0, 0, 0, 0
0.76347914, 1, 0, 0, 0
