Time [s],Packet ID,MOSI,MISO
4.188893900,62,0x87,0x00
4.188895860,62,0x88,0x00
4.188897840,62,0x96,0x00
4.188899820,62,0x80,0x20
4.189925320,63,0x80,0x04
4.189927320,63,0x85,0x88
4.189929320,63,0x86,0x00
4.189931320,63,0x87,0x00
4.189933320,63,0x88,0x00
4.189935320,63,0x96,0x00
4.189937320,63,0x80,0x20
4.190508940,64,0x0B,0x04
4.190514240,64,0x70,0x70
4.190519980,65,0x83,0x04
4.190525300,65,0x80,0x20
4.190531140,66,0x03,0x04
4.190536440,66,0x30,0x20
4.678845920,68,0x83,0x05
4.678851200,68,0x80,0x30
4.678857060,69,0x03,0x05
4.678862340,69,0x20,0x30
4.678874420,70,0x80,0x05
4.678876400,70,0x85,0x88
4.678878360,70,0x86,0x00
4.678880340,70,0x87,0x00
4.678882300,70,0x88,0x00
4.678884280,70,0x96,0x00
4.678886240,70,0x80,0x20
4.679491840,71,0x0B,0x04
4.679497120,71,0x70,0x70
4.679502840,72,0x83,0x04
4.679508140,72,0x80,0x20
4.679513980,73,0x03,0x04
4.679519280,73,0x30,0x20
5.167871060,75,0x83,0x05
5.167876360,75,0x80,0x30
5.167882220,76,0x03,0x05
5.167887500,76,0x20,0x30
5.167899580,77,0x80,0x05
5.167901560,77,0x85,0x88
5.167903520,77,0x86,0x00
5.167905500,77,0x87,0x00
5.167907480,77,0x88,0x00
5.167909440,77,0x96,0x00
5.167911420,77,0x80,0x20
5.168936560,78,0x80,0x04
5.168938560,78,0x85,0x88
5.168940580,78,0x86,0x00
5.168942580,78,0x87,0x00
5.168944580,78,0x88,0x00
5.168946580,78,0x96,0x00
5.168948580,78,0x80,0x20
5.169519820,79,0x0B,0x04
5.169525100,79,0x70,0x70
5.169530840,80,0x83,0x04
5.169536140,80,0x80,0x20
5.169541980,81,0x03,0x04
5.169547260,81,0x30,0x20
5.657877340,83,0x83,0x05
5.657882640,83,0x80,0x30
5.657888480,84,0x03,0x05
5.657893780,84,0x20,0x30
5.657905880,85,0x80,0x05
5.657907860,85,0x85,0x88
5.657909820,85,0x86,0x00
5.657911800,85,0x87,0x00
