Time[s], Channel 0, Channel 1, Channel 2, Channel 3, button 5 (dpi)
-0.00237660, 0, 0, 0, 0, 1
-0.00237650, 1, 0, 0, 0, 1
-0.00237638, 0, 0, 0, 0, 1
-0.00237636, 0, 1, 0, 0, 1
-0.00237626, 1, 1, 0, 0, 1
-0.00237614, 0, 1, 0, 0, 1
-0.00237612, 0, 0, 0, 0, 1
-0.00237600, 1, 0, 0, 0, 1
-0.00237588, 0, 0, 0, 0, 1
-0.00237576, 1, 0, 0, 0, 1
-0.00237564, 0, 0, 0, 0, 1
-0.00237550, 1, 0, 0, 0, 1
-0.00237538, 0, 0, 0, 0, 1
-0.00237526, 1, 0, 0, 0, 1
-0.00237514, 0, 0, 0, 0, 1
-0.00237500, 1, 0, 0, 0, 1
-0.00237312, 1, 0, 0, 1, 1
-0.00139130, 1, 0, 0, 0, 1
-0.00138872, 0, 0, 0, 0, 1
-0.00138868, 0, 0, 1, 0, 1
-0.00138858, 1, 0, 1, 0, 1
-0.00138846, 0, 0, 1, 0, 1
-0.00138844, 0, 0, 0, 0, 1
-0.00138834, 1, 0, 0, 0, 1
-0.00138822, 0, 0, 0, 0, 1
-0.00138808, 1, 0, 0, 0, 1
-0.00138796, 0, 0, 0, 0, 1
-0.00138784, 1, 0, 0, 0, 1
-0.00138772, 0, 0, 0, 0, 1
-0.00138758, 1, 0, 0, 0, 1
-0.00138746, 0, 0, 0, 0, 1
-0.00138734, 1, 0, 0, 0, 1
-0.00138722, 0, 0, 0, 0, 1
-0.00138720, 0, 1, 0, 0, 1
-0.00138708, 1, 1, 0, 0, 1
-0.00138696, 0, 1, 0, 0, 1
-0.00138684, 1, 1, 0, 0, 1
-0.00138672, 0, 1, 0, 0, 1
-0.00138668, 0, 1, 1, 0, 1
-0.00138658, 1, 1, 1, 0, 1
-0.00138646, 0, 1, 1, 0, 1
-0.00138644, 0, 0, 0, 0, 1
-0.00138634, 1, 0, 0, 0, 1
-0.00138622, 0, 0, 0, 0, 1
-0.00138608, 1, 0, 0, 0, 1
-0.00138596, 0, 0, 0, 0, 1
-0.00138584, 1, 0, 0, 0, 1
-0.00138572, 0, 0, 0, 0, 1
-0.00138570, 0, 1, 0, 0, 1
-0.00138558, 1, 1, 0, 0, 1
-0.00138546, 0, 1, 0, 0, 1
-0.00138544, 0, 0, 1, 0, 1
-0.00138534, 1, 0, 1, 0, 1
-0.00138522, 0, 0, 1, 0, 1
-0.00138518, 0, 0, 0, 0, 1
-0.00138508, 1, 0, 0, 0, 1
-0.00138496, 0, 0, 0, 0, 1
-0.00138494, 0, 0, 1, 0, 1
-0.00138484, 1, 0, 1, 0, 1
-0.00138472, 0, 0, 1, 0, 1
-0.00138458, 1, 0, 1, 0, 1
-0.00138446, 0, 0, 1, 0, 1
-0.00138444, 0, 0, 0, 0, 1
-0.00138434, 1, 0, 0, 0, 1
-0.00138422, 0, 0, 0, 0, 1
-0.00138408, 1, 0, 0, 0, 1
-0.00138396, 0, 0, 0, 0, 1
-0.00138384, 1, 0, 0, 0, 1
-0.00138372, 0, 0, 0, 0, 1
-0.00138358, 1, 0, 0, 0, 1
-0.00138346, 0, 0, 0, 0, 1
-0.00138344, 0, 0, 1, 0, 1
-0.00138334, 1, 0, 1, 0, 1
-0.00138322, 0, 0, 1, 0, 1
-0.00138308, 1, 0, 1, 0, 1
-0.00138296, 0, 0, 1, 0, 1
-0.00138294, 0, 0, 0, 0, 1
-0.00138284, 1, 0, 0, 0, 1
-0.00138272, 0, 0, 0, 0, 1
-0.00138268, 0, 0, 1, 0, 1
-0.00138258, 1, 0, 1, 0, 1
-0.00138246, 0, 0, 1, 0, 1
-0.00138244, 0, 0, 0, 0, 1
-0.00138234, 1, 0, 0, 0, 1
-0.00138222, 0, 0, 0, 0, 1
-0.00138208, 1, 0, 0, 0, 1
-0.00138196, 0, 0, 0, 0, 1
-0.00138184, 1, 0, 0, 0, 1
-0.00138170, 0, 0, 0, 0, 1
-0.00138158, 1, 0, 0, 0, 1
-0.00138146, 0, 0, 0, 0, 1
-0.00138144, 0, 0, 1, 0, 1
-0.00138134, 1, 0, 1, 0, 1
-0.00138120, 0, 0, 1, 0, 1
-0.00138108, 1, 0, 1, 0, 1
-0.00138096, 0, 0, 1, 0, 1
