Time[s], Channel 0, Channel 1, Channel 2, Channel 3
0.24438310, 0, 0, 1, 0
0.24438314, 0, 0, 0, 0
0.24438324, 1, 0, 0, 0
0.24438336, 0, 0, 0, 0
0.24438348, 1, 0, 0, 0
0.24438360, 0, 0, 0, 0
0.24438374, 1, 0, 0, 0
0.24438386, 0, 0, 0, 0
0.24438398, 1, 0, 0, 0
0.24438410, 0, 0, 0, 0
0.24438412, 0, 1, 0, 0
0.24438424, 1, 1, 0, 0
0.24438436, 0, 1, 0, 0
0.24438438, 0, 0, 0, 0
0.24438448, 1, 0, 0, 0
0.24438460, 0, 0, 0, 0
0.24438474, 1, 0, 0, 0
0.24438486, 0, 0, 0, 0
0.24438488, 0, 1, 1, 0
0.24438498, 1, 1, 1, 0
0.24438510, 0, 1, 1, 0
0.24438512, 0, 0, 1, 0
0.24438514, 0, 0, 0, 0
0.24438524, 1, 0, 0, 0
0.24438536, 0, 0, 0, 0
0.24438548, 1, 0, 0, 0
0.24438560, 0, 0, 0, 0
0.24438574, 1, 0, 0, 0
0.24438586, 0, 0, 0, 0
0.24438588, 0, 1, 0, 0
0.24438598, 1, 1, 0, 0
0.24438610, 0, 1, 0, 0
0.24438612, 0, 0, 0, 0
0.24438614, 0, 0, 1, 0
0.24438624, 1, 0, 1, 0
0.24438636, 0, 0, 1, 0
0.24438638, 0, 0, 0, 0
0.24438648, 1, 0, 0, 0
0.24438660, 0, 0, 0, 0
0.24438664, 0, 0, 1, 0
0.24438674, 1, 0, 1, 0
0.24438686, 0, 0, 1, 0
0.24438698, 1, 0, 1, 0
0.24438710, 0, 0, 1, 0
0.24438714, 0, 0, 0, 0
0.24438724, 1, 0, 0, 0
0.24438736, 0, 0, 0, 0
0.24438748, 1, 0, 0, 0
0.24438760, 0, 0, 0, 0
0.24438774, 1, 0, 0, 0
0.24438786, 0, 0, 0, 0
0.24438798, 1, 0, 0, 0
0.24438810, 0, 0, 0, 0
0.24438814, 0, 0, 1, 0
0.24438824, 1, 0, 1, 0
0.24438836, 0, 0, 1, 0
0.24438848, 1, 0, 1, 0
0.24438860, 0, 0, 1, 0
0.24438864, 0, 0, 0, 0
0.24438874, 1, 0, 0, 0
0.24438886, 0, 0, 0, 0
0.24438888, 0, 0, 1, 0
0.24438898, 1, 0, 1, 0
0.24438910, 0, 0, 1, 0
0.24438914, 0, 0, 0, 0
0.24438924, 1, 0, 0, 0
0.24438936, 0, 0, 0, 0
0.24438948, 1, 0, 0, 0
0.24438960, 0, 0, 0, 0
0.24438974, 1, 0, 0, 0
0.24438986, 0, 0, 0, 0
0.24438998, 1, 0, 0, 0
0.24439010, 0, 0, 0, 0
0.24439014, 0, 0, 1, 0
0.24439024, 1, 0, 1, 0
0.24439036, 0, 0, 1, 0
0.24439048, 1, 0, 1, 0
0.24439060, 0, 0, 1, 0
0.24439074, 1, 0, 1, 0
0.24439086, 0, 0, 1, 0
0.24439098, 1, 0, 1, 0
0.24439110, 0, 0, 1, 0
0.24439114, 0, 0, 0, 0
0.24439124, 1, 0, 0, 0
0.24439136, 0, 0, 0, 0
0.24439148, 1, 0, 0, 0
0.24439160, 0, 0, 0, 0
0.24439174, 1, 0, 0, 0
0.24439186, 0, 0, 0, 0
0.24439188, 0, 0, 1, 0
0.24439198, 1, 0, 1, 0
0.24439210, 0, 0, 1, 0
0.24439214, 0, 0, 0, 0
0.24439224, 1, 0, 0, 0
0.24439236, 0, 0, 0, 0
0.24439248, 1, 0, 0, 0
0.24439260, 0, 0, 0, 0
0.24439274, 1, 0, 0, 0
0.24439286, 0, 0, 0, 0
0.24439288, 0, 0, 1, 0
0.24439298, 1, 0, 1, 0
0.24439310, 0, 0, 1, 0
0.24439314, 0, 0, 0, 0
0.24439324, 1, 0, 0, 0
0.24439336, 0, 0, 0, 0
0.24439348, 1, 0, 0, 0
0.24439360, 0, 0, 0, 0
0.24439364, 0, 0, 1, 0
0.24439374, 1, 0, 1, 0
0.24439386, 0, 0, 1, 0
0.24439388, 0, 0, 0, 0
0.24439398, 1, 0, 0, 0
0.24439410, 0, 0, 0, 0
0.24439414, 0, 0, 1, 0
0.24439424, 1, 0, 1, 0
0.24439436, 0, 0, 1, 0
0.24439448, 1, 0, 1, 0
0.24439460, 0, 0, 1, 0
0.24439464, 0, 0, 0, 0
0.24439474, 1, 0, 0, 0
0.24439486, 0, 0, 0, 0
0.24439488, 0, 0, 1, 0
0.24439498, 1, 0, 1, 0
0.24439510, 0, 0, 1, 0
0.24439514, 0, 0, 0, 0
0.24439524, 1, 0, 0, 0
0.24439536, 0, 0, 0, 0
0.24439538, 0, 1, 0, 0
0.24439548, 1, 1, 0, 0
0.24439560, 0, 1, 0, 0
0.24439562, 0, 0, 0, 0
0.24439574, 1, 0, 0, 0
0.24439586, 0, 0, 0, 0
0.24439598, 1, 0, 0, 0
0.24439610, 0, 0, 0, 0
0.24439624, 1, 0, 0, 0
0.24439636, 0, 0, 0, 0
0.24439648, 1, 0, 0, 0
0.24439660, 0, 0, 0, 0
0.24439674, 1, 0, 0, 0
0.24439862, 1, 0, 0, 1
0.24496284, 1, 0, 0, 0
0.24496526, 0, 0, 0, 0
0.24496538, 1, 0, 0, 0
0.24496550, 0, 0, 0, 0
0.24496562, 1, 0, 0, 0
0.24496576, 0, 0, 0, 0
0.24496588, 1, 0, 0, 0
0.24496600, 0, 0, 0, 0
0.24496612, 1, 0, 0, 0
0.24496624, 0, 0, 0, 0
0.24496626, 0, 0, 1, 0
0.24496636, 1, 0, 1, 0
0.24496648, 0, 0, 1, 0
0.24496650, 0, 1, 1, 0
0.24496652, 0, 1, 0, 0
0.24496662, 1, 1, 0, 0
0.24496674, 0, 0, 0, 0
0.24496676, 0, 0, 1, 0
0.24496686, 1, 0, 1, 0
0.24496698, 0, 0, 1, 0
0.24496710, 1, 0, 1, 0
0.24496772, 1, 0, 0, 0
0.24497054, 0, 0, 0, 0
0.24497066, 1, 0, 0, 0
0.24497080, 0, 1, 0, 0
0.24497082, 0, 1, 1, 0
0.24497092, 1, 1, 1, 0
0.24497104, 0, 1, 1, 0
0.24497116, 1, 1, 1, 0
0.24497128, 0, 1, 1, 0
0.24497140, 1, 1, 1, 0
0.24497152, 0, 1, 1, 0
0.24497154, 0, 0, 1, 0
0.24497156, 0, 0, 0, 0
0.24497166, 1, 0, 0, 0
0.24497178, 0, 0, 0, 0
0.24497190, 1, 0, 0, 0
0.24497202, 0, 0, 0, 0
0.24497214, 1, 0, 0, 0
0.24497226, 0, 0, 0, 0
0.24497240, 1, 0, 0, 0
0.24497378, 1, 0, 0, 1
0.24497386, 1, 0, 0, 0
0.24497626, 0, 0, 0, 0
0.24497630, 0, 0, 1, 0
0.24497638, 1, 0, 1, 0
0.24497652, 0, 0, 1, 0
0.24497654, 0, 0, 0, 0
0.24497664, 1, 0, 0, 0
0.24497676, 0, 0, 0, 0
0.24497688, 1, 0, 0, 0
